,AAPL,MSI,SBUX
742,96.3,60.82,59.03
743,101.42,62.04,59.17
744,99.44,62.42,57.71
745,99.99,63.16,58.61
746,93.42,64.8,57.63
747,94.09,64.74,59.285
748,97.34,66.77,60.77
749,96.43,66.85,61.4
750,94.48,64.32,60.695
751,96.35,64.88,59.53
752,96.6,64.25,58.29
753,94.02,62.82,54.49
754,95.01,62.09,54.14
755,94.99,62.24,54.42
756,94.27,60.97,55.14
757,93.7,60.52,54.92
758,93.99,61.78,55.86
759,96.64,63.42,56.41
760,98.12,65.05,57.63
761,96.26,64.78,56.96
762,96.04,66.0,57.67
763,96.88,66.75,58.87
764,94.69,70.78,58.46
765,96.1,72.84,58.11
766,96.76,74.06,58.75
767,96.91,74.86,58.34
768,96.69,73.49,58.21
769,100.53,71.19,60.04
770,100.75,71.28,59.56
771,101.5,71.25,59.04
772,103.01,70.95,58.7
773,101.87,71.01,58.0
774,101.03,71.1,57.6
775,101.12,71.48,57.07
776,101.17,71.22,57.52
777,102.26,71.2,57.59
778,102.52,71.83,58.65
779,104.58,71.97,59.08
780,105.97,72.24,59.67
781,105.8,72.83,59.55
782,105.92,72.59,59.7
783,105.91,73.12,59.1
784,106.72,73.71,59.38
785,106.13,73.15,58.83
786,105.67,72.59,58.36
787,105.19,73.37,58.96
788,107.68,74.09,59.55
789,109.56,74.89,60.01
790,108.99,75.7,59.7
791,109.99,76.11,61.02
792,111.12,76.32,60.25
793,109.81,75.71,60.04
794,110.96,76.09,60.83
795,108.54,74.99,61.17
796,108.66,75.24,61.04
797,109.02,74.88,60.9
798,110.44,75.04,59.5
799,112.04,75.37,60.21
800,112.1,75.31,60.13
801,109.85,75.64,60.51
802,107.48,75.69,60.89
803,106.91,75.97,60.9
804,107.13,75.55,60.9
805,105.97,74.99,60.64
806,105.68,75.56,57.68
807,105.08,75.51,57.77
808,104.35,75.9,57.72
809,97.82,76.04,56.9
810,94.83,75.34,56.42
811,93.74,75.19,56.23
812,93.64,76.0,57.36
813,95.18,74.96,56.25
814,94.19,74.22,56.39
815,93.24,74.25,56.25
816,92.72,70.54,56.31
817,92.79,70.82,56.64
818,93.42,71.05,57.49
819,92.51,70.07,56.23
820,90.34,71.11,56.3
821,90.52,70.62,55.82
822,93.88,70.83,55.53
823,93.49,69.89,54.88
824,94.56,69.46,54.8
825,94.2,68.72,54.55
826,95.22,68.75,54.62
827,96.43,68.78,54.6
828,97.9,69.68,55.44
829,99.62,69.35,55.15
830,100.41,69.4,55.29
831,100.35,69.5,55.15
832,99.86,69.27,54.89
833,98.46,69.06,54.82
834,97.72,68.8,54.62
835,97.92,68.47,54.61
836,98.63,68.77,55.59
837,99.03,68.16,55.3
838,98.94,69.05,55.22
839,99.65,68.56,55.58
840,98.83,67.45,54.865
841,97.34,66.82,55.04
842,97.46,67.24,55.57
843,97.14,67.54,55.35
844,97.55,67.8,55.53
845,95.33,67.33,55.31
846,95.1,68.35,55.38
847,95.91,67.81,55.81
848,95.55,67.43,55.61
849,96.1,68.01,56.13
850,93.4,64.73,54.68
851,92.04,63.08,53.69
852,93.59,63.69,54.85
853,94.4,64.55,56.74
854,95.6,65.97,57.12
855,95.89,66.01,56.99
856,94.99,64.77,56.77
857,95.53,65.3,56.75
858,95.94,65.05,56.91
859,96.68,66.38,56.51
860,96.98,66.62,56.32
861,97.42,67.4,57.48
862,96.87,67.46,56.48
863,98.79,67.58,57.59
864,98.78,67.4,57.41
865,99.83,67.55,56.92
866,99.87,67.5,56.76
867,99.96,67.93,57.54
868,99.43,67.55,57.6
869,98.66,68.25,57.9
870,97.34,68.09,57.95
871,96.67,68.42,58.31
872,102.95,69.26,57.85
873,104.34,69.58,58.21
874,104.21,69.38,58.05
875,106.05,69.63,57.63
876,104.48,68.84,56.73
877,105.79,69.29,55.94
878,105.87,70.24,55.42
879,107.48,73.5,55.9
880,108.37,73.93,55.36
881,108.81,74.28,55.2
882,108.0,74.28,55.62
883,107.93,75.52,55.47
884,108.18,74.54,55.47
885,109.48,75.44,55.25
886,109.38,75.58,55.37
887,109.22,75.68,55.8
888,109.08,75.99,55.53
889,109.36,76.34,54.94
890,108.51,76.49,55.85
891,108.85,76.99,56.4
892,108.03,77.12,57.09
893,107.57,77.18,57.29
894,106.94,77.2,57.29
895,106.82,77.29,56.8
896,106.0,77.51,56.4
897,106.1,76.99,56.23
898,106.73,76.8,56.31
899,107.73,77.95,56.18
900,107.7,78.32,56.02
901,108.36,78.08,56.32
902,105.52,77.37,55.3
903,103.13,76.65,54.35
904,105.44,77.23,54.71
905,107.95,76.09,53.98
906,111.77,75.47,53.9
907,115.57,76.04,54.11
908,114.92,75.63,53.74
909,113.58,75.76,53.01
910,113.57,75.21,53.3
911,113.55,75.73,53.98
912,114.62,76.19,54.39
